source_row,state_raw,state,district_raw,district,district_notes,property_type_raw,property_type,year,quarter,period_start,period_end,transaction_count,transaction_value_rm,average_price_rm,price_type,volume_support,source_name,source_url,source_document,source_page_or_table,collected_at,dataset_version,schema_version,validation_errors,validation_warnings,quarter_change_percent,validation_status,model_eligible,public_prediction_supported,model_exclusion_reason,public_prediction_exclusion_reason
12,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Semi-Detached,two_to_two_half_storey_semi_detached,2017,3,2017-07-01,2017-09-30,19,25018600.0,1316768.4210526317,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",6.718020611176559,valid_with_warnings,True,False,,low_transaction_volume
13,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Semi-Detached,two_to_two_half_storey_semi_detached,2017,4,2017-10-01,2017-12-31,20,27465880.0,1373294.0,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],4.292750193855762,valid,True,True,,
14,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Terraced,two_to_two_half_storey_terraced,2017,1,2017-01-01,2017-03-31,73,60630460.0,830554.2465753425,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],,valid,True,True,,
15,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Terraced,two_to_two_half_storey_terraced,2017,2,2017-04-01,2017-06-30,66,59355946.0,899332.5151515151,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],8.281008598748226,valid,True,True,,
16,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Terraced,two_to_two_half_storey_terraced,2017,3,2017-07-01,2017-09-30,72,59383224.0,824767.0,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],8.291206410896052,valid,True,True,,
17,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Terraced,two_to_two_half_storey_terraced,2017,4,2017-10-01,2017-12-31,50,41325800.0,826516.0,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],0.212059890854023,valid,True,True,,
18,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Cluster House,cluster_house,2017,1,2017-01-01,2017-03-31,11,1998800.0,181709.0909090909,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
19,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Cluster House,cluster_house,2017,2,2017-04-01,2017-06-30,12,2293000.0,191083.3333333333,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",5.15892869054765,valid_with_warnings,True,False,,low_transaction_volume
20,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Cluster House,cluster_house,2017,3,2017-07-01,2017-09-30,7,1563000.0,223285.7142857143,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",16.852532552488956,valid_with_warnings,True,False,,low_transaction_volume
21,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Cluster House,cluster_house,2017,4,2017-10-01,2017-12-31,12,3373000.0,281083.3333333333,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",25.885050117295787,valid_with_warnings,True,False,,low_transaction_volume
22,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Condominium/Apartment,condominium_apartment,2017,1,2017-01-01,2017-03-31,132,73061000.0,553492.4242424242,completed_transaction_average,high_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],,valid,True,True,,
23,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Condominium/Apartment,condominium_apartment,2017,2,2017-04-01,2017-06-30,116,67585440.0,582633.1034482758,completed_transaction_average,high_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],5.264874084904964,valid,True,True,,
24,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Condominium/Apartment,condominium_apartment,2017,3,2017-07-01,2017-09-30,155,79745567.0,514487.5290322581,completed_transaction_average,high_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],11.696138446769094,valid,True,True,,
25,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Condominium/Apartment,condominium_apartment,2017,4,2017-10-01,2017-12-31,148,83323135.0,562994.1554054054,completed_transaction_average,high_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],9.428144247614217,valid,True,True,,
26,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Detached,detached,2017,1,2017-01-01,2017-03-31,9,9143797.0,1015977.4444444444,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
27,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Detached,detached,2017,2,2017-04-01,2017-06-30,18,12260900.0,681161.1111111111,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",32.95509513170513,valid_with_warnings,True,False,,low_transaction_volume
28,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Detached,detached,2017,3,2017-07-01,2017-09-30,11,16434200.0,1494018.181818182,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME"", ""SUSPICIOUS_QUARTER_CHANGE""]",119.33403969306721,valid_with_warnings,True,False,,low_transaction_volume
29,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Detached,detached,2017,4,2017-10-01,2017-12-31,14,11957500.0,854107.1428571428,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",42.83154293224757,valid_with_warnings,True,False,,low_transaction_volume
30,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Flat,flat,2017,1,2017-01-01,2017-03-31,70,19889000.0,284128.5714285714,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],,valid,True,True,,
31,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Flat,flat,2017,2,2017-04-01,2017-06-30,74,19737500.0,266722.97297297296,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],6.12595852929706,valid,True,True,,
32,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Flat,flat,2017,3,2017-07-01,2017-09-30,61,15945334.0,261398.9180327869,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],1.99609912893613,valid,True,True,,
33,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Flat,flat,2017,4,2017-10-01,2017-12-31,85,20934666.0,246290.18823529413,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],5.779951160929326,valid,True,True,,
34,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost Flat,low_cost_flat,2017,1,2017-01-01,2017-03-31,85,9373000.0,110270.58823529413,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],,valid,True,True,,
35,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost Flat,low_cost_flat,2017,2,2017-04-01,2017-06-30,61,7121500.0,116745.90163934426,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],5.872203556430825,valid,True,True,,
36,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost Flat,low_cost_flat,2017,3,2017-07-01,2017-09-30,73,9081033.0,124397.71232876711,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],6.554243516882598,valid,True,True,,
37,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost Flat,low_cost_flat,2017,4,2017-10-01,2017-12-31,70,8884300.0,126918.57142857143,completed_transaction_average,medium_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],[],2.026451333077586,valid,True,True,,
38,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost House,low_cost_house,2017,1,2017-01-01,2017-03-31,5,744000.0,148800.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
39,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost House,low_cost_house,2017,2,2017-04-01,2017-06-30,8,1217000.0,152125.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",2.2345430107526885,valid_with_warnings,True,False,,low_transaction_volume
40,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost House,low_cost_house,2017,3,2017-07-01,2017-09-30,2,695000.0,347500.0,completed_transaction_average,very_low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME"", ""SUSPICIOUS_QUARTER_CHANGE""]",128.43056696795398,valid_with_warnings,True,False,,low_transaction_volume
41,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Low-Cost House,low_cost_house,2017,4,2017-10-01,2017-12-31,1,110000.0,110000.0,completed_transaction_average,very_low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",68.34532374100719,valid_with_warnings,True,False,,low_transaction_volume
42,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,Town House,town_house,2017,1,2017-01-01,2017-03-31,5,3010000.0,602000.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
